Company,Model,MSN,YoM,Reg,Comments
Boeing 737,737-8Q8,35275,2008,OK-TVH,"Flying with Oman Air, wet lease contract from Travel Service until?"
Boeing 737,737-8EH,35064,2008,PR-GGB,"Stored (on transfer?), last operated by GOL Linhas Aereas"
Boeing 737,737-808,34703,2006,EI-RUO,"Stored, last operated by Transaero"
Boeing 737,737-808,34702,2006,EI-RUN,"Stored, last operated by Transaero"
Boeing 737,737-700,34536,2006,HP-1531CMP,"Flying with Copa Airlines, 737-700 fleet being retired (retirement completion planned for 2018)"
Boeing 757,757-200,34009,2004,B-2866,"Flying with Xiamen Airlines, media reports that airline is planning to retire and sell entire 757 fleet"
Boeing 757,757-200,34008,2004,B-2862,"Flying with Xiamen Airlines, media reports that airline is planning to retire and sell entire 757 fleet"
Boeing 757,757-200,32942,2002,B-2869,"Flying with Xiamen Airlines, media reports that airline is planning to retire and sell entire 757 fleet"
Boeing 757,757-200,32941,2001,B-2868,"Flying with Xiamen Airlines, media reports that airline is planning to retire and sell entire 757 fleet"
Boeing 757,757-28A,32449,2001,N590CB,"Stored, last operated by Ethiopian Airlines, registered under trustee on 25APR16"
Boeing 757,757-28S,32343,2002,B-2830,"Flying with China Southern, 757 fleet will be sold to Boeing starting in 2016"
Airbus A340,A340-200,085,1999,LV-ZRA,"Stored, last operated by Aerolineas Argentinas"
Airbus A340,A340-200,080,1999,LV-ZPX,"Stored, last operated by Aerolineas Argentinas"
Airbus A340,A340-200,074,1999,LV-ZPJ,"Stored, last operated by Aerolineas Argentinas"
Airbus A340,A340-200,063,1999,LV-ZPO,"Stored, last operated by Aerolineas Argentinas"
Airbus A340,A340-311,058,1994,OH-LQA,"Flying with Finnair, aircraft likely to be retired before the end of 2016 (entire fleet to be retired by the end of 2017)"
Airbus A340,A340-212,043,1994,TBA,"ex JY-AIB,Stored, last operated by Royal Jordanian"
Airbus A340,A340-212,038,1993,TBA,"ex JY-AIA,Stored, last operated by Royal Jordanian"
Boeing 747,747-4D7,32369,2001,HS-TGA,"Flying with Thai Airways, will be replaced by A350s and 787s in 2017-2018"
Boeing 747,747-446,29950,2000,EI-XLK,"Stored, last operated by Transaero"
Boeing 747,747-400F,29902,2006,9M-MPS,"Flying with MASkargo, aircraft will be retired per airlines's statement"
Boeing 747,747-4H6,29900,2002,9M-MPP,"Stored, last operated by Malaysia Airlines, marketed online by PwC ,since 24MAY16, as available for Sale"
Boeing 747,747-444,29119,1998,EI-XLZ,"Stored, last operated by Tranasaero"
Boeing 747,747-45E,29112,1998,B-16412,"Flying with EVA Airways, aircraft will be retired and replaced by new 777-300ERs"
Boeing 747,747-45E,29111,1998,B-16411,"Flying with EVA Airways, aircraft will be retired and replaced by new 777-300ERs"
Boeing 747,747-45E,29061,1998,B-16410,"Flying with EVA Airways, aircraft will be retired and replaced by new 777-300ERs"
Boeing 747,747-409,29030,1998,B-18206,"Stored, last operated by China Airlines"
Boeing 747,747-422,28717,1997,N199UA,"Flying with United, marketed online by Blackrock as available for Sale on JUL16"
Boeing 737,737-700,34535,2006,HP-1530CMP,"Flying with Copa Airlines, 737-700 fleet being retired (retirement completion planned for 2018)"
Boeing 737,737-800,34281,2006,PR-GTK,Marketed by Apollo Aviation as available for Lease in DEC16
Boeing 737,737-800,34280,2006,PR-GTI,Marketed by Apollo Aviation as available for Lease in NOV16
Boeing 737,737-800,34253,2006,TC-TJO,"Marketed online by Corendon Airlines ,since 11JAN16, as available for ACMI"
Boeing 737,737-781ER,33880,2007,JA13AN,"Stored, last operated by ANA, airline intends to sell the aircraft"
Boeing 737,737-8GJ,33833,2005,OK-TVX,"Flying with Spicejet, wet lease contract from Travel Service until?"
Boeing 737,737-700,33708,2003,HP-1521CMP,"Flying with Copa Airlines, 737-700 fleet being retired (retirement completion planned for 2018)"
Boeing 737,737-700,33707,2003,HP-1520CMP,"Flying with Copa Airlines, 737-700 fleet being retired (retirement completion planned for 2018)"
Boeing 737,737-700,33706,2004,HP-1525CMP,"Flying with Copa Airlines, 737-700 fleet being retired (retirement completion planned for 2018)"
Boeing 737,737-700,33705,2004,HP-1524CMP,"Flying with Copa Airlines, 737-700 fleet being retired (retirement completion planned for 2018)"
Boeing 737,737-8KN,31765,2010,A6-FDI,"Flying with flydubai, aircraft likely to be returned to lessor after MAY16 (flydubai stated that 7 aircraft will be retired)"
Boeing 757,757-28S,32342,2001,B-2813,"Flying with China Southern, 757 fleet will be sold to Boeing starting in 2016"
Boeing 757,757-28S,32341,2001,B-2812,"Flying with China Southern, 757 fleet will be sold to Boeing starting in 2016"
Boeing 757,757-223,29590,1999,N680AN,"Stored, last operated by American Airlines"
Boeing 757,757-200,29489,1998,P5-FAS,"Flying with Air Astana, 757 fleet will be replaced by A321neo LR in 2018 and 2019"
Boeing 757,757-200,29488,1998,P5-EAS,"Flying with Air Astana, 757 fleet will be replaced by A321neo LR in 2018 and 2019"
Boeing 757,757-223,29425,1998,N675AN,"Stored, last operated by American Airlines"
Boeing 757,757-28S,29217,1999,B-2859,"Flying with China Southern, 757 fleet will be sold to Boeing starting in 2016"
Boeing 757,757-28S,29216,1998,B-2853,"Flying with China Southern, 757 fleet will be sold to Boeing starting in 2016"
Boeing 757,757-28S,29215,1998,B-2851,"Flying with China Southern, 757 fleet will be sold to Boeing starting in 2016"
Boeing 757,757-200,28833,1997,P5-MAS,"Flying with Air Astana, 757 fleet will be replaced by A321neo LR in 2018 and 2019"
Boeing 747,747-409,28710,1997,B-18202,"Stored, last operated by China Airlines"
Boeing 747,747-409,28709,1997,B-18201,"Stored, last operated by China Airlines"
Boeing 747,747-4D7,28706,1999,HS-TGZ,"Flying with Thai Airways, will be replaced by A350s and 787s in 2017-2018"
Boeing 747,747-4D7,28705,1998,HS-TGY,"Flying with Thai Airways, will be replaced by A350s and 787s in 2017-2018"
Boeing 747,747-444,28468,1998,VB-BKL,"Stored, last operated by Transaero"
Boeing 747,747-400F,28434,2006,9M-MPR,"Flying with MASkargo, aircraft will be retired per airlines's statement"
Boeing 747,747-45E Combi,28093,1996,B-16409,"Stored, last operated by EVA Airways"
Boeing 747,747-45E Combi,28092,1996,B-16408,"Stored, last operated by EVA Airways"
Boeing 747,747-412,28031,2001,EI-XLL,"Stored, last operated by Tranasaero"
Boeing 747,747-412,28029,2001,EI-XLN,"Stored, last operated by Transaero"
Boeing 737,737-8KN,31716,2010,A6-FDH,"Flying with flydubai, aircraft likely to be returned to lessor after MAY16 (flydubai stated that 7 aircraft will be retired)"
Boeing 737,737-838,30734,2007,YJ-AV1,"Stored, last operated by Air Vanuatu"
Boeing 737,737-73S,30727,2001,OY-JTY,"Flying with British Airways, wet lease contract from Jettime until AUG-SEP16"
Boeing 737,737-86J,30498,1999,EI-RUA,"Stored, last operated by Transaero"
Boeing 737,737-700,30497,2000,HP-1376CMP,"Flying with Copa Airlines, 737-700 fleet being retired (retirement completion planned for 2018)"
Boeing 737,737-86R,30495,2001,EI-RUD,"Stored, last operated by Transaero"
Boeing 737,737-86R,30494,2001,EI-RUC,"Stored, last operated by Transaero"
Boeing 737,737-700,30462,2002,HP-1377CMP,"Flying with Copa Airlines, 737-700 fleet being retired (retirement completion planned for 2018)"
Boeing 737,737-700,30461,2002,HP-1378CMP,"Flying with Copa Airlines, 737-700 fleet being retired (retirement completion planned for 2018)"
Boeing 737,737-700,30460,2000,HP-1375CMP,"Flying with Copa Airlines, 737-700 fleet being retired (retirement completion planned for 2018)"
Boeing 757,757-200,28674,1997,N553CC,"Stored (under freighter covnersion), last opertaed by Thomas Cook"
Boeing 757,757-200,28112,1996,P5-GAS,"Flying with Air Astana, 757 fleet will be replaced by A321neo LR in 2018 and 2019"
Boeing 757,757-200,27971,1995,P5-KCU,"Flying with Air Astana, 757 fleet will be replaced by A321neo LR in 2018 and 2019"
Boeing 757,757-26D,27681,1995,N313AT,"Stored, last operated by Shanghai Airlines, marketed online by Vx Capital ,since 10AUG15, as available for Lease"
Boeing 757,757-200,27517,1996,B-2849,"Stored, last operated by Xiamen Airlines, media reports that airline is planning to retire and sell entire 757 fleet"
Boeing 757,757-200,27513,1995,B-2848,"Stored, last operated by Xiamen Airlines, media reports that airline is planning to retire and sell entire 757 fleet"
Boeing 757,757-223,27446,1996,N608AA,"Stored, last operated by American Airlines"
Boeing 757,757-2Z0,27260,1994,N574BC,"Stored, last operated by China Southern, registered under Boeing on 08FEB16"
Boeing 757,757-200F,27259,1994,N168CA,"Stored, last operated by National Airlines, registered under trustee on 16SEP15"
Boeing 757,757-204,27236,1992,N906NV,"Flying with Allegiant Air, 757 fleet will be retired by MAR-APR17"
Boeing 767,767-200ER,30433,2001,VP-BAW,"Stored, last operated by UTair, marketed online by Avinco as available for Lease or Sale"
Boeing 767,767-200ER,30432,2000,VP-BAU,"Stored, last operated by UTair, marketed online by Avinco as available for Lease or Sale"
Boeing 767,767-200ER,30431,2000,VP-BAQ,"Stored, last operated by UTair, marketed online by Avinco as available for Lease or Sale"
Boeing 767,767-200ER,30430,2000,VP-BAB,"Stored, last operated by UTair, marketed online by Avinco as available for Lease or Sale"
Boeing 767,767-36NER,30111,1999,EI-RUV,"Stored, last operated by Transaero"
Boeing 767,767-36NER,30110,1999,EI-RUU,"Stored, last operated by Transaero"
Boeing 767,767-36NER,30107,1999,EI-RUW,"Stored, last operated by Transaero"
Boeing 747,747-412,28028,2001,EI-XLM,"Stored, last operated by Transaero"
Boeing 747,747-400F,28026,1997,9V-SFF,"Flying with Singapore Airlines, marketed by LCI Aviation as available for Lease in OCT15"
Boeing 747,747-444,28025,2001,EI-XLO,"Stored, last operated by Transaero"
Boeing 747,747-4F6,27828,1994,RP-C7473,"Stored, last operated by Philippine Airlines"
Boeing 747,747-4F6,27827,1994,RP-C8168,"Stored, last operated by Philippine Airlines"
Boeing 747,747-4D7,27725,1997,HS-TGX,"Flying with Thai Airways, will be replaced by A350s and 787s in 2017-2018"
Boeing 747,747-4D7,27724,1997,HS-TGW,"Flying with Thai Airways, will be replaced by A350s and 787s in 2017-2018"
Boeing 747,747-469,27663,1995,RP-C7475,"Stored, last operated by Philippine Airlines"
Boeing 747,747-4B5,27662,1995,N579BC,"Stored, last operated by Korean Air Lines, registered under Boeing on 05APR16"
Boeing 747,747-446,27650,1999,EI-XLH,"Stored, last operated by Transaero"
Boeing 737,737-700,30459,2000,HP-1374CMP,"Flying with Copa Airlines, 737-700 fleet being retired (retirement completion planned for 2018)"
Boeing 737,737-700,30458,2000,HP-1373CMP,"Flying with Copa Airlines, 737-700 fleet being retired (retirement completion planned for 2018)"
Boeing 737,737-36Q,30335,1999,YL-BB,"Flying with airBaltic, 737 fleet will start being replaced with new CS300s from 2H 2016"
Boeing 737,737-36Q,30334,1999,YL-BB,"Flying with airBaltic, 737 fleet will start being replaced with new CS300s from 2H 2016"
Boeing 737,737-36Q,30333,1999,YL-BB,"Flying with airBaltic, 737 fleet will start being replaced with new CS300s from 2H 2016"
Boeing 737,737-76Q,30293,2004,N393AG,"Stored, last operated by Yakutia Airlines"
Boeing 737,737-300,30102,1999,B-2969,"Flying with China Eastern Airlines, 737-300 fleet being retired"
Boeing 737,737-8Q8,30039,2000,2-TBXO,"Stored, last operated by TACV Cabo Verde Airlines"
Boeing 737,737-758,29961,1999,4X-EKE,"Stored, last operated by El Al"
Boeing 737,737-758,29960,1999,N259CS,"Stored, last operated by El Al, registered under Capstar Aviation on 19JAN16"
Boeing 737,737-86N,29888,2002,N546CC,"Stored, last operated by Air China, N-reg on 30MAR16"
Boeing 777,777-367ER,35300,2008,B-KPG,"Flying with Cathay Pacific, marketed online by MC Aviation Partners ,since 08MAR15, as available for Lease"
Boeing 777,777-222ER,30214,1999,EI-UNW,"Stored, last operated by Tranasaero"
Boeing 777,777-222ER,30213,1999,EI-UNX,"Stored, last operated by Tranasaero"
Boeing 777,777-2J6,29748,2001,B-2069,"Flying with Air China, airline is offering the aircraft for Sale"
Boeing 777,777-2J6,29747,2001,B-2068,"Flying with Air China, airline is offering the aircraft for Sale"
Boeing 777,777-2J6,29746,2001,B-2067,"Flying with Air China, airline is offering the aircraft for Sale"
Boeing 777,777-2J6,29745,2000,B-2066,"Flying with Air China, airline is offering the aircraft for Sale"
Boeing 777,777-2J6,29744,2000,B-2065,"Flying with Air China, airline is offering the aircraft for Sale"
Boeing 757,757-204,27235,1992,N905NV,"Flying with Allegiant Air, 757 fleet will be retired by MAR-APR17"
Boeing 757,757-223,27058,1996,N607AM,"Stored, last operated by American Airlines"
Boeing 757,757-223,27056,1995,N605AA,"Stored, last operated by American Airlines"
Boeing 757,757-223,27055,1995,N604AA,"Stored, last operated by American Airlines"
Boeing 757,757-223,27052,1995,N601AN,"Stored, last operated by American Airlines"
Boeing 757,757-223,26974,1994,N694AN,"Stored, last operated by American Airlines"
Boeing 757,757-223,26973,1993,N693AA,"Stored, last operated by American Airlines"
Boeing 757,757-204,26966,1993,N903NV,"Flying with Allegiant Air, 757 fleet will be retired by MAR-APR17"
Boeing 767,767-323ER,29432,1998,N395AN,"Stored, last operated by American Airlines"
Boeing 767,767-38E,29129,1998,HL7528,"Flying with Asiana Airlines, 767 fleet will be replaced with A350s starting late 2016 or early 2017"
Boeing 767,767-306,28098,1996,VQ-BMQ,"Stored, last operated by Ikar Airlines"
Boeing 767,767-306,27957,1995,VQ-BPT,"Stored, last operated by Ikar Airlines"
Boeing 767,767-323ER,27060,1994,N386AA,"Stored, last operated by American Airlines"
Boeing 767,767-2B1,26471,1993,N542BC,"Stored, last operated by Aeromexico, registered under Boeing on 05DEC15"
Boeing 767,767-37DER,26328,1996,VP-BRL,"Stored, last operated by Ikar Airlines"
Boeing 767,767-3P6ER,26238,1998,EI-UNF,"Stored, last operated by Transaero"
Boeing 767,767-3P6ER,26236,1992,EI-UND,"Stored, last operated by Transaero"
Boeing 767,767-3P6ER,26234,1994,EI-UNB,"Stored, last operated by Tranasaero"
Boeing 767,767-3P6ER,26233,1993,EI-UNA,"Stored, last operated by Tranasaero"
Boeing 747,747-467,27595,1995,B-HUJ,"Flying with Cathay pacific, airline announced 747-400 fleet will be retired by OCT16"
Boeing 747,747-4F6,27262,1993,RP-C7472,"Stored, last operated by Philippine Airlines"
Boeing 747,747-4F6,27261,1993,RP-C7471,"Stored, last operated by Philippine Airlines"
Boeing 747,747-467,27230,1994,B-HUI,"Flying with Cathay pacific, airline announced 747-400 fleet will be retired by OCT16"
Boeing 747,747-400BCF,27217,1994,N926BA,"Stored, last operated by Cathay Pacific, marketed by Boeing as available for Operating lease or Sale"
Boeing 747,747-467F,27175,1994,N286BC,"Stored, last operated by Cathay Pacific, registered under Boeing on 01DEC14"
Boeing 747,747-400BDSF,27173,1993,B-16462,"Stored, last operated by EVA Air"
Boeing 747,747-412,27132,1992,B-HKT,"Flying with Cathay pacific, airline announced 747-400 fleet will be retired by OCT16"
Boeing 747,747-446,27100,1999,EI-XLC,"Stored, last operated by Transaero"
Boeing 747,747-4B5,27072,1994,N392BC,"Stored, last operated by Korean Airlines, registered under Boeing in 24FEB15"
Boeing 737,737-4Q3,29864,1999,JA8999,"Flying with Japan Transocean Air, -400s will be replaced by -800s by the end of 2017"
Boeing 737,737-8KN,29636,2010,A6-FDG,"Flying with flydubai, aircraft likely to be returned to lessor after MAY16 (flydubai stated that 7 aircraft will be retired)"
Boeing 737,737-4Q3,29486,1998,JA8939,"Flying with Japan Transocean Air, -400s will be replaced by -800s by the end of 2017"
Boeing 737,737-446,29485,1998,JA8938,"Flying with Japan Transocean Air, -400s will be replaced by -800s by the end of 2017"
Boeing 737,737-85H,29445,1999,F-GZHN,"Flying with Transavia France, marketed online by Apollo Aviation as available for Lease in NOV16"
Boeing 737,737-85H,29444,1998,F-GZHV,"Flying with Transavia France, marketed online by Apollo Aviation as available for Lease in OCT16"
Boeing 737,737-300,29412,1998,B-2573,"Flying with China Eastern Airlines, 737-300 fleet being retired"
Boeing 737,737-300,29411,1998,B-2572,"Flying with China Eastern Airlines, 737-300 fleet being retired"
Boeing 737,737-300,29410,1997,B-2571,"Flying with China Eastern Airlines, 737-300 fleet being retired"
Boeing 737,737-300,29408,1999,B-2575,"Flying with China Southern Airlines, 737-300 fleet will be sold to Boeing starting in 2016"
Boeing 777,777-2J6,29157,1999,B-2064,"Flying with Air China, airline is offering the aircraft for Sale"
Boeing 777,777-2J6,29156,1999,B-2063,"Flying with Air China, airline is offering the aircraft for Sale"
Boeing 777,777-2J6,29155,1998,B-2061,"Flying with Air China, airline is offering the aircraft for Sale"
Boeing 777,777-2J6,29154,1998,B-2060,"Flying with Air China, airline is offering the aircraft for Sale"
Boeing 777,777-2J6,29153,1998,B-2059,"Stored, last operated by Air China, airline is offering the aircraft for Sale"
Boeing 777,777-200ER,29066,2001,9M-MRM,"Marketed online by PwC ,since 10MAR16, as available for Sale"
Boeing 777,777-200ER,29065,2001,9M-MRL,"Marketed online by PwC ,since 10MAR15, as available for Sale"
Boeing 777,777-212ER,28999,1998,EI-UNT,"Stored, last operated by Tranasaero"
Boeing 777,777-212ER,28998,1998,EI-UNU,"Stored, last operated by Transaero"
Boeing 777,777-269ER,28744,1998,9K-AOB,"Flying with Kuwait Airways, 777-200s will be retired between late 2016 and JUN17"
Boeing 757,757-204,26964,1994,N902NV,"Flying with Allegiant Air, 757 fleet will be retired by MAR-APR17"
Boeing 757,757-204,26963,1994,N901NV,"Flying with Allegiant Air, 757 fleet will be retired by MAR-APR17"
Boeing 757,757-222,26664,1992,N562UA,"Stored, last operated by United Airlines, registered under trustee on 14JAN16"
Boeing 757,757-222,26654,1992,N558UA,"Stored, last operated by United Airlines, registered under trustee on 14JAN16"
Boeing 757,757-222,26650,1992,N556UA,"Stored, last operated by United Airlines, registered under trustee on 15JAN16"
Boeing 757,757-2Y0,26156,1992,B-2827,"Flying with China Southern, 757 fleet will be sold to Boeing starting in 2016"
Boeing 757,757-2Y0,26153,1992,B-2831,"Flying with China Southern, 757 fleet will be sold to Boeing starting in 2016"
Boeing 757,757-21B,25890,1993,B-2825,"Flying with China Southern, 757 fleet will be sold to Boeing starting in 2016"
Boeing 757,757-21B,25889,1993,B-2824,"Flying with China Southern, 757 fleet will be sold to Boeing starting in 2016"
Boeing 757,757-21B,25888,1993,B-2823,"Flying with China Southern, 757 fleet will be sold to Boeing starting in 2016"
Boeing 767,767-38E,25763,1997,HL7514,"Flying with Asiana Airlines, 767 fleet will be replaced with A350s starting late 2016 or early 2017"
Boeing 767,767-38E,25762,1997,HL7515,"Flying with Asiana Airlines, 767 fleet will be replaced with A350s starting late 2016 or early 2017"
Boeing 767,767-38EF,25761,1996,HL7507,"Flying with Asiana Airlines, 767 fleet will be replaced with A350s starting late 2016 or early 2017"
Boeing 767,767-38E,25760,1996,HL7506,"Flying with Asiana Airlines, 767 fleet will be replaced with A350s starting late 2016 or early 2017"
Boeing 767,767-38E,25759,1997,HL7516,"Flying with Asiana Airlines, 767 fleet will be replaced with A350s starting late 2016 or early 2017"
Boeing 767,767-38E,25758,1995,HL7248,"Flying with Asiana Airlines, 767 fleet will be replaced with A350s starting late 2016 or early 2017"
Boeing 767,767-38E,25757,1993,HL7247,"Flying with Asiana Airlines, 767 fleet will be replaced with A350s starting late 2016 or early 2017"
Boeing 767,767-33AER,25534,1993,TBA,"ex UR-AAH,Stored, last operated by Aerosvit Airlines"
Boeing 767,767-323ER,25447,1992,N378AN,"Stored, last operated by American Airlines"
Boeing 767,767-323ER,25445,1992,N376AN,"Stored, last operated by American Airlines"
Boeing 787,787-8,37306,2015,N887BA,"Stored, ordered by Privatair but not delivered"
Boeing 747,747-412,27069,1993,TBA,"ex 2-BHKU,Stored, last operated by Cathay Pacific"
Boeing 747,747-400,27043,1994,N774AS,"Stored, last operated by Saudi Arabian Airlines"
Boeing 747,747-444,26638,1993,VP-BKJ,"Stored, last operated by Transaero"
Boeing 747,747-444,26637,1992,VP-BVR,"Stored, last operated by Transaero"
Boeing 747,747-4D7,26610,1994,HS-TGP,"Flying with Thai Airways, will be replaced by A350s and 787s in 2017-2018"
Boeing 747,747-4D7,26609,1993,HS-TGO,"Flying with Thai Airways, will be replaced by A350s and 787s in 2017-2018"
Boeing 747,747-400BCF,26547,1992,N923BA,"Stored, last operated by Cathay Pacific, marketed by Boeing as available for Operating lease or Sale"
Boeing 747,747-451,26477,1999,N671US,"Stored, last operated by Delta Air Lines"
Boeing 747,747-400BCF,26396,1993,N496BC,"Stored, last operated by Korean Airlines, marketed by Boeing as available for Sale or Dry lease"
Boeing 737,737-300,29407,1999,B-2574,"Flying with China Southern Airlines, 737-300 fleet will be sold to Boeing starting in 2016"
Boeing 737,737-33V,29342,1999,N903JJ,"Stored, last operated by Air Nigeria, registered under Jetran LLC on 06JUL15"
Boeing 737,737-300,29341,1999,N901JK,"Stored, last operated by Air Nigeria, marketed online by Jetran LLC ,since 12FEB16, as available for Lease or Sale"
Boeing 737,737-33V,29338,1999,N902JJ,"Stored, last operated by Solitaire Air, registered under Jetran LLC on 24JUL15"
Boeing 737,737-33V,29334,1998,YL-BB,"Flying with airBaltic, 737 fleet will start being replaced with new CS300s from 2H 2016"
Boeing 737,737-31S,29267,1999,YL-BB,"Flying with airBaltic, 737 fleet will start being replaced with new CS300s from 2H 2016"
Boeing 737,737-31S,29266,1998,YL-BB,"Flying with airBaltic, 737 fleet will start being replaced with new CS300s from 2H 2016"
Boeing 737,737-300,29264,1998,LN-KHB,"Stored, last operated by Norwegian"
Boeing 737,737-700,29190,1998,N976JM,"Stored, last operated by Shenzhen Airlines, registered under trustee on 25SEP15"
Boeing 737,737-300,29130,1999,UR-GAH,"Flying with Ukraine International Airlines, 737CLs will be retired by the end of 2018"
Boeing 777,777-269ER,28743,1998,9K-AOA,"Flying with Kuwait Airways, 777-200s will be retired between late 2016 and JUN17"
Boeing 777,777-222ER,28714,1999,EI-UNV,"Stored, last operated by Tranasaero"
Boeing 777,777-312,28534,1999,EI-UNM,"Stored, last operated by Tranasaero"
Boeing 777,777-212ER,28532,2002,9V-SVH,"Stored, last operated by Singapore Airlines"
Boeing 777,777-312,28531,1999,EI-XLP,"Stored, last operated by Transaero"
Boeing 777,777-212ER,28523,1999,EI-UNR,"Stored, last operated by Tranasaero"
Boeing 777,777-212ER,28520,2002,N285CQ,"Stored, last operated by Singapore Airlines, registered under trustee on 06APR15"
Boeing 777,777-212ER,28519,1999,N394BC,"Stored, last operated by Scoot, marketed by Boeing as available for Sale or Lease"
Boeing 777,777-312,28516,1998,EI-UNP,"Stored, last operated by Transaero"
Boeing 777,777-312,28515,1998,EI-UNL,"Stored, last operated by Transaero"
Boeing 777,777-212ER,28514,1998,EI-UNS,"Stored, last operated by Transaero"
Boeing 757,757-223,25696,1993,N690AA,"Stored, last operated by American Airlines"
Boeing 757,757-223,25695,1993,N687AA,"Stored, last operated by American Airlines"
Boeing 757,757-236,25598,1992,B-2835,"Flying with China Southern, 757 fleet will be sold to Boeing starting in 2016"
Boeing 757,757-222,25399,1992,N551UA,"Stored, last operated by United Airlines"
Boeing 757,757-222,25323,1991,N545UA,"Stored, last operated by United Airlines"
Boeing 757,757-223,25301,1992,N7667A,"Stored, last operated by American Airlines"
Boeing 757,757-223,25300,1992,N666A,"Stored, last operated by American Airlines"
Boeing 757,757-223,25299,1992,N665AA,"Stored, last operated by American Airlines"
Boeing 757,757-223,25296,1992,N662AA,"Stored, last operated by American Airlines"
Boeing 757,757-223,25294,1991,N660AM,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-83,53625,1999,N975TW,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-83,53597,1998,N9627R,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-90,53571,1997,N307EV,"Stored, last operated by Delta Air Lines"
Boeing DC9/MD80/MD90,MD-83,53293,1992,N567AM,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-82,53292,1992,N76202,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-82,53290,1992,N76200,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-83,53289,1992,N599AA,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-83,53288,1992,N598AA,"Stored, last operated by American Airlines"
Boeing DC9/MD80/MD90,MD-82,53249,1991,N586AA,"Stored, last operated by American Airlines"
Boeing 767,767-33AER,25346,1991,EI-DFS,"Stored, last operated by Transaero"
Boeing 767,767-346,25293,1991,TBA,"ex JA8357,Stored, last operated by JAL, deregistered in FEB16"
Boeing 767,767-323ER,25202,1992,N7375A,"Stored, last operated by American Airlines"
Boeing 767,767-323ER,25201,1992,N374AA,"Stored, last operated by American Airlines"
Boeing 767,767-323ER,25199,1992,N372AA,"Stored, last operated by American Airlines"
Boeing 767,767-323ER,25198,1992,N371AA,"Stored, last operated by American Airlines"
Boeing 767,767-323ER,25197,1992,N370AA,"Stored, last operated by American Airlines"
Boeing 767,767-323ER,25194,1991,N39367,"Stored, last operated by American Airlines"
Boeing 767,767-323ER,25193,1991,N366AA,"Stored, last operated by American Airlines"
Boeing 767,767-37EER,25077,1991,2-IDBU,"Stored, last operated by Transaero"
Boeing 747,747-400BCF,26395,1992,N539BC,"Stored, last operated by Korean Airlines, marketed by Boeing as available for Sale or Dry lease"
Boeing 747,747-406M,26373,1992,PH-BFM,"Stored, last operated by KLM"
Boeing 747,747-446,26360,1998,EI-XLD,"Stored, last operated by Tranasaero"
Boeing 747,747-446,26359,1998,EI-XLB,"Stored, last operated by Tranasaero"
Boeing 747,747-446,26346,1992,EC-LNA,"Flying with ConViasa, wet lease contract from Wamos until OCT16"
Boeing 747,747-4Q8,26326,1994,TBA,"ex G-VHOT,Stored, last operated by Virgin ATlantic Airways, dereg. 24MAR2016"
Boeing 747,747-4J6,25881,1993,B-2443,"Stored, last operated by Air China, airline is offering the aircraft for Sale"
Boeing 747,747-428,25601,1992,F-GITE,"Stored, last operated by Air France"
Boeing 747,747-406,25413,1992,PH-BFO,"Stored, last operated by KLM"
Boeing 747,747-400BCF,25275,1991,N976BA,"Stored, last operated by Korean Air, marketed by Boeing as available for Operating lease or Sale"
Boeing 737,737-86J,29121,1999,N598CB,"Stored, last operated by Corendon Airlines, N-reg on 13MAY16"
Boeing 737,737-300,29100,1998,LN-KHA,"Stored, last operated by Norwegian"
Boeing 737,737-300,29087,1997,B-2988,"Flying with China Eastern Airlines, 737-300 fleet being retired"
Boeing 737,737-73S,29079,1999,OY-JTT,"Flying with British Airways, wet lease contract from Jettime until AUG-SEP16"
Boeing 737,737-53S,29075,1999,YL-BB,"Flying with airBaltic, 737 fleet will start being replaced with new CS300s from 2H 2016"
Boeing 737,737-53S,29073,1998,YL-BB,"Flying with airBaltic, 737 fleet will start being replaced with new CS300s from 2H 2016"
Boeing 737,737-300,29072,1998,LN-KKX,"Stored, last operated by Norwegian"
Boeing 737,737-300,29069,1997,B-2986,"Stored, last operated by China Eastern Airlines"
Boeing 737,737-300,29068,1997,B-2985,"Stored, last operated by China Eastern Airlines"
Boeing 737,737-31S,29056,1997,EI-DOH,"Stored, last operated by Transaero"
Boeing 777,777-212,28509,1997,9V-OTC,"Stored, last operated by Scoot"
Boeing 777,777-212ER,28508,1997,N524AS,"Stored, last operated by Scoot"
Boeing 777,777-200ER,28422,2004,9M-MRQ,"Marketed online by PwC ,since 10MAR15, as available for Sale"
Boeing 777,777-200ER,28421,2004,9M-MRP,"Marketed online by PwC ,since 10MAR15, as available for Sale"
Boeing 777,777-2H6ER,28419,2002,9M-MRN,"Stored, last operated by Malaysia Airlines"
Boeing 777,777-2H6ER,28412,1998,9M-MRE,"Stored, last operated by Malaysia Airlines"
Boeing 777,777-2H6ER,28409,1997,2-MMRB,"Stored, last operated by Malaysia Airlines"
