Category,Company,Contact_webPage,Contact_email,Contact_phone,Model,YoM,MSN,TFHs_TFCs,Engines,F_B_E,OL_A_S,LU,AD
"Aircraft, (Jets and Turboprops)",ATR,"Castlelake, http://www.myairlease.com/available/castlelake","Mr. C. Buckley, mailto:chris.buckley@castlelake.com?Subject=Query%20for%20MSN%201038%20listed%20in%20myairlease.com",+44 207 190 6125,ATR 72-600,2012,1038,OR,PW127M,OR,OL/S,1603,IMM
"Aircraft, (Jets and Turboprops)",ATR,"Flair Aviation, http://www.myairlease.com/available/flair_aviation","Mr. M. Waldmann, mailto:waldmann@flair-aviation.de?Subject=Query%20for%20MSN%20576%20listed%20in%20myairlease.com",+49 1573 8250 158,ATR 42-500,1998,576,29292/28787,PW127E,0/0/46,OL/S,1605,1607
"Aircraft, (Jets and Turboprops)",ATR,"Flair Aviation, http://www.myairlease.com/available/flair_aviation","Mr. M. Waldmann, mailto:waldmann@flair-aviation.de?Subject=Query%20for%20MSN%20574%20listed%20in%20myairlease.com",+49 1573 8250 158,ATR 42-500,1998,574,30735/31239,PW127E,0/0/46,OL/S,1605,1607
"Aircraft, (Jets and Turboprops)",ATR,"Jalux Singapore, http://www.myairlease.com/available/jalux_singapore","Mr. I. Okamura, mailto:ippei.okamura@jalux.com?Subject=Query%20for%20MSN%20688%20listed%20in%20myairlease.com",+65 6816 2412,ATR 72-500,2002,688,23370/27008,PW127M,0/0/66,OL,1605,IMM
"Aircraft, (Jets and Turboprops)",ATR,"Jalux Singapore, http://www.myairlease.com/available/jalux_singapore","Mr. I. Okamura, mailto:ippei.okamura@jalux.com?Subject=Query%20for%20MSN%20685%20listed%20in%20myairlease.com",+65 6816 2412,ATR 72-500,2002,685,23811/26901,PW127M,0/0/66,OL,1605,IMM
"Aircraft, (Jets and Turboprops)",ATR,"Jalux Singapore, http://www.myairlease.com/available/jalux_singapore","Mr. I. Okamura, mailto:ippei.okamura@jalux.com?Subject=Query%20for%20MSN%20678%20listed%20in%20myairlease.com",+65 6816 2412,ATR 72-500,2001,678,25345/28446,PW127M,0/0/66,OL,1605,IMM
"Aircraft, (Jets and Turboprops)",ATR,"Lease Fly, http://www.myairlease.com/available/lease_fly","Mr. N. Margalho, mailto:nuno.margalho@lease-fly.com?Subject=Query%20for%20MSN%20333%20listed%20in%20myairlease.com",+35 1 214 450 937,ATR 42-320,1992,333,OR,PW121,0/0/48,OL/A,1601,IMM
"Aircraft, (Jets and Turboprops)",ATR,"Lease Fly, http://www.myairlease.com/available/lease_fly","Mr. N. Margalho, mailto:nuno.margalho@lease-fly.com?Subject=Query%20for%20MSN%20095%20listed%20in%20myairlease.com",+35 1 214 450 937,ATR 42-300,1988,095,OR,PW120,0/0/48,OL/A,1601,IMM
"Aircraft, (Jets and Turboprops)",ATR,"Regional One, http://www.myairlease.com/available/regional_one","Mr. C. Furlan, mailto:cfurlan@regionalone.com?Subject=Query%20for%20MSN%2051%20listed%20in%20myairlease.com",+1 305 759 0670,ATR 42-300,1987,051,OR,PW120,OR,OL/S,1605,IMM
"Aircraft, (Jets and Turboprops)",ATR,"Regional One, http://www.myairlease.com/available/regional_one","Mr. C. Furlan, mailto:cfurlan@regionalone.com?Subject=Query%20for%20MSN%2057%20listed%20in%20myairlease.com",+1 305 759 0670,ATR 42-300,1987,057,OR,PW120,OR,OL/S,1605,IMM
"Aircraft, (Jets and Turboprops)",ATR,"Regional One, http://www.myairlease.com/available/regional_one","Mr. C. Furlan, mailto:cfurlan@regionalone.com?Subject=Query%20for%20MSN%20307%20listed%20in%20myairlease.com",+1 305 759 0670,ATR 72-202,1992,307,OR,PW124B,OR,OL/S,1605,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"AVCON, http://www.myairlease.com/available/avcon","Mr. W. Brose, mailto:w.brose@avcon.de?Subject=Query%20for%20MSN%203155%20listed%20in%20myairlease.com",+49 7051 967162,146-300,1990,3155,27200/28500,ALF502R-5-103A,0/8/87,OL/A/S,1605,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"AVCON, http://www.myairlease.com/available/avcon","Mr. W. Brose, mailto:w.brose@avcon.de?Subject=Query%20for%20MSN%202064%20listed%20in%20myairlease.com",+49 7051 967162,146-200,1986,2064,46100/43700,ALF502R-5-102A,0/0/100,OL/A/S,1605,IMM
"Aircraft, (Jets and Turboprops)",ATR,"SkyWorld Aviation, http://www.myairlease.com/available/skyworld_aviation","Mrs. J. Hewitt, mailto:juliet@skyworld.co.uk?Subject=Query%20for%20MSN%20587%20listed%20in%20myairlease.com",+44 1753 832088,ATR 72-500,1999,587,25744/36924,PW127M,0/0/72,S,1605,IMM
"Aircraft, (Jets and Turboprops)",ATR,"SkyWorld Aviation, http://www.myairlease.com/available/skyworld_aviation","Mrs. J. Hewitt, mailto:juliet@skyworld.co.uk?Subject=Query%20for%20MSN%20528%20listed%20in%20myairlease.com",+44 1753 832088,ATR 42-500,1996,528,OR,PW124B,OR,A,1605,IMM
"Aircraft, (Jets and Turboprops)",ATR,"Solenta Aviation, http://www.myairlease.com/available/solenta_aviation","Mr. M. Adams, mailto:michael.adams@solenta.com?Subject=Query%20for%20MSN%20528%20listed%20in%20myairlease.com",+27 11 707 4000,ATR 42-500,1996,528,28300/31900,PW127E,0/0/46,OL/A,1604,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"Blue Sky Aviation, http://www.myairlease.com/available/blue_sky_aviation","Mr. M. Sessions, mailto:mike@blueskyaviation.ltd.uk?Subject=Query%20for%20MSN%202294%20listed%20in%20myairlease.com",+44 7958 317788,RJ85,1996,2294,36176/28405,LF507-1F,0/0/95,A,1604,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"Blue Sky Aviation, http://www.myairlease.com/available/blue_sky_aviation","Mr. M. Sessions, mailto:mike@blueskyaviation.ltd.uk?Subject=Query%20for%20MSN%202047%20listed%20in%20myairlease.com",+44 7958 317788,146-200,1985,2047,35142/32865,ALF502R-5,OR,A,1604,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"Bulgaria Air, http://www.myairlease.com/available/bulgaria_air","Mr. G. Beloretchki, mailto:g.beloretchki@air.bg?Subject=Query%20for%20MSN%201258%20listed%20in%20myairlease.com",+35 929 840354,RJ70,1994,1258,23368/16104,LF507-1F,26/0/0,S,1605,IMM
"Aircraft, (Jets and Turboprops)",ATR,"Solenta Aviation, http://www.myairlease.com/available/solenta_aviation","Mr. M. Adams, mailto:michael.adams@solenta.com?Subject=Query%20for%20MSN%20463%20listed%20in%20myairlease.com",+27 11 707 4000,ATR 72-212,1995,463,38600/43900,PW127,0/0/66,A,1604,IMM
"Aircraft, (Jets and Turboprops)",ATR,"Solenta Aviation, http://www.myairlease.com/available/solenta_aviation","Mr. M. Adams, mailto:michael.adams@solenta.com?Subject=Query%20for%20MSN%20228%20listed%20in%20myairlease.com",+27 11 707 4000,ATR 42-300,1991,228,35660/33800,PW120,Freighter,OL/A,1604,IMM
"Aircraft, (Jets and Turboprops)",ATR,"Solenta Aviation, http://www.myairlease.com/available/solenta_aviation","Mr. M. Adams, mailto:michael.adams@solenta.com?Subject=Query%20for%20MSN%20032%20listed%20in%20myairlease.com",+27 11 707 4000,ATR 42-320,1986,032,34250/34780,PW120,0/0/42,OL/A,1604,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"Bulgaria Air, http://www.myairlease.com/available/bulgaria_air","Mr. G. Beloretchki, mailto:g.beloretchki@air.bg?Subject=Query%20for%20MSN%202093%20listed%20in%20myairlease.com",+35 929 840354,146-200,1987,2093,50734/35002,ALF502R-5,0/8/76,S,1605,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"Bulgaria Air, http://www.myairlease.com/available/bulgaria_air","Mr. G. Beloretchki, mailto:g.beloretchki@air.bg?Subject=Query%20for%20MSN%202103%20listed%20in%20myairlease.com",+35 929 840354,146-200,1988,2103,39667/41349,ALF502R-5,0/8/78,S,1605,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"Celerak, http://www.myairlease.com/available/celerak","Mr. C. Ospina, mailto:cristobal@celerak.com?Subject=Query%20for%20MSN%20895%20listed%20in%20myairlease.com",+1 786 380 6871,Jetstream 32,1990,0895,24601/27079,TPE331-12UHR-701H,Freighter,S,1603,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"Celerak, http://www.myairlease.com/available/celerak","Mr. C. Ospina, mailto:cristobal@celerak.com?Subject=Query%20for%20MSN%20899%20listed%20in%20myairlease.com",+1 786 380 6871,Jetstream 32,1990,0899,24276/26831,TPE331-12UHR-701H,Freighter,S,1603,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"Celerak, http://www.myairlease.com/available/celerak","Mr. C. Ospina, mailto:cristobal@celerak.com?Subject=Query%20for%20MSN%20894%20listed%20in%20myairlease.com",+1 786 380 6871,Jetstream 32,1990,0894,24500/26719,TPE331-12UHR-701H,Freighter,S,1603,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"Cronos Airlines, http://www.myairlease.com/available/cronos_airlines","Mr. A. Ronda, mailto:aroncor@cronosair.com?Subject=Query%20for%20MSN%202069%20listed%20in%20myairlease.com",+240 555 979 029,146-200,1987,2069,OR,ALF502-R5,0/8/74,OL,1604,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"Falko, http://www.myairlease.com/available/falko","Mr. R. Dudley-Cave, mailto:enquiries@falko.com?Subject=Query%20for%20MSN%203342%20listed%20in%20myairlease.com",+44 1707 255501,RJ100,1998,3342,OR,LF507-1F,0/0/97,OL/S,1604,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"Falko, http://www.myairlease.com/available/falko","Mr. R. Dudley-Cave, mailto:enquiries@falko.com?Subject=Query%20for%20MSN%203336%20listed%20in%20myairlease.com",+44 1707 255501,RJ100,1998,3336,OR,LF507-1F,0/0/97,OL/S,1604,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"Falko, http://www.myairlease.com/available/falko","Mr. R. Dudley-Cave, mailto:enquiries@falko.com?Subject=Query%20for%20MSN%203332%20listed%20in%20myairlease.com",+44 1707 255501,RJ100,1998,3332,OR,LF507-1F,0/0/97,OL/S,1604,IMM
"Aircraft, (Jets and Turboprops)",Beechcraft 1900,"Aerotask, http://www.myairlease.com/available/aerotask","Mr. R. Sitta, mailto:fleet@aerotask.ae?Subject=Query%20for%20MSN%20UE-136%20listed%20in%20myairlease.com",+971 4 2500373,Beechcraft 1900D,1995,UE-136,11887/9557,PT6A-67D,0/0/19,A,1605,IMM
"Aircraft, (Jets and Turboprops)",Beechcraft 1900,"Aerotask, http://www.myairlease.com/available/aerotask","Mr. R. Sitta, mailto:fleet@aerotask.ae?Subject=Query%20for%20MSN%20UC-114%20listed%20in%20myairlease.com",+971 4 2500373,Beechcraft 1900C,1990,UC-114,27894/28800,PT6A-65B,0/0/19,A,1605,IMM
"Aircraft, (Jets and Turboprops)",Beechcraft 1900,"Aerovista, http://www.myairlease.com/available/aerovista","Mr. Z. Siddiq, mailto:zulqarnain.siddiq@aerovista.aero?Subject=Query%20for%20MSN%20FL-614%20listed%20in%20myairlease.com",+971 50 991 9393,Super King Air 350,2008,FL-614,OR,PT6A-60A,0/0/9,S,1604,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"Jetmark Leasing, http://www.myairlease.com/available/jetmark_leasing","Mr. T. Porras, mailto:tony.porras@jetmarkleasing.com?Subject=Query%20for%20MSN%2041033%20listed%20in%20myairlease.com",+1 786 391 4602,Jetstream 41,1994,41033,24970/24845,TPE331-14,0/0/29,OL/S,1605,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"Jetmark Leasing, http://www.myairlease.com/available/jetmark_leasing","Mr. T. Porras, mailto:tony.porras@jetmarkleasing.com?Subject=Query%20for%20MSN%2041027%20listed%20in%20myairlease.com",+1 786 391 4602,Jetstream 41,1994,41027,24316/24186,TPE331-14,0/0/29,OL/S,1605,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"Propliner Aviation, http://www.myairlease.com/available/propliner_aviation","Mr. A. Dyer, mailto:ldyer@assetconversions.com?Subject=Query%20for%20MSN%2041080%20listed%20in%20myairlease.com",+1 404 644 1516,Jetstream 41,1996,41080,20790/20781,OR,OR,OL/S,1603,IMM
"Aircraft, (Jets and Turboprops)",Beechcraft 1900,"MLM Leasing, http://www.myairlease.com/available/mlm_leasing","Mr. E. Loewenstein, mailto:elliot@mlmleasing.com?Subject=Query%20for%20MSN%20UE-206%20listed%20in%20myairlease.com",+1 646 468 5541,Beechcraft 1900D,1996,UE-206,32965/38657,PT6A-67D,0/0/19,OL,1605,IMM
"Aircraft, (Jets and Turboprops)",Beechcraft 1900,"Potomac Aviation, http://www.myairlease.com/available/potomac_aviation","Mr. M. Adams, mailto:michael.adams@potomacaviation.net?Subject=Query%20for%20MSN%20UE-391%20listed%20in%20myairlease.com",+1 336 682 5441,Beechcraft 1900D,2000,UE-391,25645/39751,PT6A-67D,0/0/19,S,1605,IMM
"Aircraft, (Jets and Turboprops)",Beechcraft 1900,"Potomac Aviation, http://www.myairlease.com/available/potomac_aviation","Mr. M. Adams, mailto:michael.adams@potomacaviation.net?Subject=Query%20for%20MSN%20UE-252%20listed%20in%20myairlease.com",+1 336 682 5441,Beechcraft 1900D,1996,UE-252,12834/13686,PT6A-67D,0/0/19,S,1605,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"Rare Air, http://www.myairlease.com/available/rare_air","Mr. T. Reid, mailto:trevorv@rare-air.co.uk?Subject=Query%20for%20MSN%2041052%20listed%20in%20myairlease.com",+44 7543 381 065,Jetstream 41,1995,41052,16215/22207,TPE331-14,0/0/29,A/S,1602,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"SWD Aviation, http://www.myairlease.com/available/swd_aviation","Mr. S. Doughty, mailto:stephen.doughty1@btinternet.com?Subject=Query%20for%20MSN%203183%20listed%20in%20myairlease.com",+44 7864 647513,146-300,1990,3183,30700/34400,ALF502-R5,0/8/86,A/S,1605,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"SWD Aviation, http://www.myairlease.com/available/swd_aviation","Mr. S. Doughty, mailto:stephen.doughty1@btinternet.com?Subject=Query%20for%20MSN%2041048%20listed%20in%20myairlease.com",+44 7864 647513,Jetstream 41,1995,41048,OR,TPE331-14,OR,S,1605,IMM
"Aircraft, (Jets and Turboprops)",Beechcraft 1900,"Potomac Aviation, http://www.myairlease.com/available/potomac_aviation","Mr. M. Adams, mailto:michael.adams@potomacaviation.net?Subject=Query%20for%20MSN%20UE-152%20listed%20in%20myairlease.com",+1 336 682 5441,Beechcraft 1900D,1995,UE-152,34691/43145,PT6A-67D,0/0/19,S,1605,IMM
"Aircraft, (Jets and Turboprops)",Beechcraft 1900,"SkyWorld Aviation, http://www.myairlease.com/available/skyworld_aviation","Mrs. J. Hewitt, mailto:juliet@skyworld.co.uk?Subject=Query%20for%20MSN%20UE-321%20listed%20in%20myairlease.com",+44 1753 832088,Beechcraft 1900D,1996,UE-321,OR,PT6A-67D,OR,A,1605,IMM
"Aircraft, (Jets and Turboprops)",Beechcraft 1900,"Solenta Aviation, http://www.myairlease.com/available/solenta_aviation","Mr. M. Adams, mailto:michael.adams@solenta.com?Subject=Query%20for%20MSN%20UE-385%20listed%20in%20myairlease.com",+27 11 707 4000,Beechcraft 1900D,1999,UE-385,16160/19000,PT6A-67D,0/0/19,OL/A,1604,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"SWD Aviation, http://www.myairlease.com/available/swd_aviation","Mr. S. Doughty, mailto:stephen.doughty1@btinternet.com?Subject=Query%20for%20MSN%2041050%20listed%20in%20myairlease.com",+44 7864 647513,Jetstream 41,1995,41050,OR,TPE331-14,OR,S,1605,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"SWD Aviation, http://www.myairlease.com/available/swd_aviation","Mr. S. Doughty, mailto:stephen.doughty1@btinternet.com?Subject=Query%20for%20MSN%2041051%20listed%20in%20myairlease.com",+44 7864 647513,Jetstream 41,1995,41051,OR,TPE331-14,OR,S,1605,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"SWD Aviation, http://www.myairlease.com/available/swd_aviation","Mr. S. Doughty, mailto:stephen.doughty1@btinternet.com?Subject=Query%20for%20MSN%2041054%20listed%20in%20myairlease.com",+44 7864 647513,Jetstream 41,1995,41054,OR,TPE331-14,OR,S,1605,IMM
"Aircraft, (Jets and Turboprops)",Beechcraft 1900,"Thomas Aviation Services, http://www.myairlease.com/available/thomas_aviation_services","Mr. M. Agnew, mailto:agnew@thomasaviation.net?Subject=Query%20for%20MSN%20BB853%20listed%20in%20myairlease.com",+1 202 364 2775,King Air B200,1981,BB853,13876/14998,PT6A-42,0/8/0,S,1605,IMM
"Aircraft, (Jets and Turboprops)",Beechcraft 1900,"Ultimate Air, http://www.myairlease.com/available/ultimate_air","Mr. C. Munro, mailto:cmunro@cadg.com?Subject=Query%20for%20MSN%20BB-688%20listed%20in%20myairlease.com",+27 834 127 744,Beechcraft B200,1980,BB-688,OR,PT6A-42,0/7/0,A,1604,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"SWD Aviation, http://www.myairlease.com/available/swd_aviation","Mr. S. Doughty, mailto:stephen.doughty1@btinternet.com?Subject=Query%20for%20MSN%2041061%20listed%20in%20myairlease.com",+44 7864 647513,Jetstream 41,1995,41061,OR,TPE331-14,OR,S,1605,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"SWD Aviation, http://www.myairlease.com/available/swd_aviation","Mr. S. Doughty, mailto:stephen.doughty1@btinternet.com?Subject=Query%20for%20MSN%2041062%20listed%20in%20myairlease.com",+44 7864 647513,Jetstream 41,1995,41062,OR,TPE331-14,OR,S,1605,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"SWD Aviation, http://www.myairlease.com/available/swd_aviation","Mr. S. Doughty, mailto:stephen.doughty1@btinternet.com?Subject=Query%20for%20MSN%2041103%20listed%20in%20myairlease.com",+44 7864 647513,Jetstream 41,1997,41103,OR,TPE331-14,OR,S,1605,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"SWD Aviation, http://www.myairlease.com/available/swd_aviation","Mr. S. Doughty, mailto:stephen.doughty1@btinternet.com?Subject=Query%20for%20MSN%2041037%20listed%20in%20myairlease.com",+44 7864 647513,Jetstream 41,1994,41037,OR,TPE331-14,OR,S,1605,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"SkyWorld Aviation, http://www.myairlease.com/available/skyworld_aviation","Mrs. J. Hewitt, mailto:juliet@skyworld.co.uk?Subject=Query%20for%20MSN%20977%20listed%20in%20myairlease.com",+44 1753 832088,Jetstream 32,1992,977,OR,TPE331-12UAR-70,OR,S,1605,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"SkyWorld Aviation, http://www.myairlease.com/available/skyworld_aviation","Mrs. J. Hewitt, mailto:juliet@skyworld.co.uk?Subject=Query%20for%20MSN%20841%20listed%20in%20myairlease.com",+44 1753 832088,Jetstream 32,1989,841,OR,TPE331-12UAR-70,OR,S,1605,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"SkyWorld Aviation, http://www.myairlease.com/available/skyworld_aviation","Mrs. J. Hewitt, mailto:juliet@skyworld.co.uk?Subject=Query%20for%20MSN%20749%20listed%20in%20myairlease.com",+44 1753 832088,Jetstream 31,1987,749,OR,TPE331,OR,OL/S,1605,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"Thomas Aviation Services, http://www.myairlease.com/available/thomas_aviation_services","Mr. M. Agnew, mailto:agnew@thomasaviation.net?Subject=Query%20for%20MSN%20837%20listed%20in%20myairlease.com",+1 202 364 2775,Jetstream 32,1989,0837,OR,TPE331-12UAR-70,OR,S,1605,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"Thomas Aviation Services, http://www.myairlease.com/available/thomas_aviation_services","Mr. M. Agnew, mailto:agnew@thomasaviation.net?Subject=Query%20for%20MSN%20720%20listed%20in%20myairlease.com",+1 202 364 2775,Jetstream 31,1986,0720,OR,TPE331-12UAR-70,OR,S,1605,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"Thomas Aviation Services, http://www.myairlease.com/available/thomas_aviation_services","Mr. M. Agnew, mailto:agnew@thomasaviation.net?Subject=Query%20for%20MSN%20646%20listed%20in%20myairlease.com",+1 202 364 2775,Jetstream 31,1987,0646,23489/29725,TPE331-10UF-513H,0/0/12,S,1605,IMM
"Aircraft, (Jets and Turboprops)",BAE Systems,"Tronos Aviation Consulting, http://www.myairlease.com/available/tronos","Mr. S. Doughty, mailto:stephen.doughty1@btinternet.com?Subject=Query%20for%20MSN%202117%20listed%20in%20myairlease.com",+44 7864 647 513,146-200QT,1988,2117,28000/25000,ALF502R-5,Freighter,OL/S,1604,IMM
"Aircraft, (Jets and Turboprops)",Boeing 727,"Celerak, http://www.myairlease.com/available/celerak","Mr. C. Ospina, mailto:cristobal@celerak.com?Subject=Query%20for%20MSN%2021158%20listed%20in%20myairlease.com",+1 786 380 6871,727-200F,1975,21158,69236/44881,JT8D-15,Freighter,S,1603,IMM
"Aircraft, (Jets and Turboprops)",Boeing 727,"Celerak, http://www.myairlease.com/available/celerak","Mr. C. Ospina, mailto:cristobal@celerak.com?Subject=Query%20for%20MSN%2021269%20listed%20in%20myairlease.com",+1 786 380 6871,727-200F,1976,21269,53996/36710,JT8D-9A,Freighter,OL/A/S,1603,IMM
"Aircraft, (Jets and Turboprops)",Boeing 727,"Celerak, http://www.myairlease.com/available/celerak","Mr. C. Ospina, mailto:cristobal@celerak.com?Subject=Query%20for%20MSN%2020041%20listed%20in%20myairlease.com",+1 786 380 6871,727-200F,1969,20041,64556/50864,JT8D-9A,Freighter,OL/A/S,1603,IMM
"Aircraft, (Jets and Turboprops)",Boeing 727,"Celerak, http://www.myairlease.com/available/celerak","Mr. C. Ospina, mailto:cristobal@celerak.com?Subject=Query%20for%20MSN%2020997%20listed%20in%20myairlease.com",+1 786 380 6871,727-200F,1976,20997,62461/41846,JT8D-9A,Freighter,OL/A/S,1603,IMM
"Aircraft, (Jets and Turboprops)",Boeing 727,"Celerak, http://www.myairlease.com/available/celerak","Mr. C. Ospina, mailto:cristobal@celerak.com?Subject=Query%20for%20MSN%2020664%20listed%20in%20myairlease.com",+1 786 380 6871,727-200F,1975,20664,74635/49960,JT8D-9A,Freighter,OL/A/S,1603,IMM
"Aircraft, (Jets and Turboprops)",Boeing 727,"Logistic Air, http://www.myairlease.com/available/logistic_air","Mr. V. Cooyar, mailto:leasing@logisticair.com?Subject=Query%20for%20MSN%2022992%20listed%20in%20myairlease.com",+1 925 465 0400,727-200F,1982,22992,OR,JT8D-15,Freighter,S,1605,IMM
"Aircraft, (Jets and Turboprops)",Boeing 737,"Aerotask, http://www.myairlease.com/available/aerotask","Mr. R. Sitta, mailto:fleet@aerotask.ae?Subject=Query%20for%20MSN%2032691%20listed%20in%20myairlease.com",+971 4 2500373,737-86N,2006,32691,OR,CFM56-7B26,0/8/156,A,1605,IMM
"Aircraft, (Jets and Turboprops)",Boeing 737,"Aerotask, http://www.myairlease.com/available/aerotask","Mr. R. Sitta, mailto:fleet@aerotask.ae?Subject=Query%20for%20MSN%2028475%20listed%20in%20myairlease.com",+971 4 2500373,737-500,1999,28475,OR,CFM56-3C1,OR,A,1605,IMM
"Aircraft, (Jets and Turboprops)",Boeing 737,"Aerotask, http://www.myairlease.com/available/aerotask","Mr. R. Sitta, mailto:fleet@aerotask.ae?Subject=Query%20for%20MSN%2028472%20listed%20in%20myairlease.com",+971 4 2500373,737-500,1998,28472,OR,CFM56-3C1,OR,A,1605,IMM
"Aircraft, (Jets and Turboprops)",Boeing 737,"AerSale, http://www.myairlease.com/available/aersale","Mr. C. Wright, mailto:Craig.Wright@aersale.com?Subject=Query%20for%20MSN%2027910%20listed%20in%20myairlease.com",+1 305 764 3238,737-300,1997,27910,OR,CFM56-3C1,OR,OL/S,1604,IMM
"Aircraft, (Jets and Turboprops)",Boeing 737,"Air Exchange, http://www.myairlease.com/available/air_exchange","Mr. R. Nerenberg, mailto:roy@airexchange.aero?Subject=Query%20for%20MSN%2032427%20listed%20in%20myairlease.com",+1 301 765 8018,737-700,2004,32427,OR,CFM56-7B22,0/0/148,A,1602,1MM
"Aircraft, (Jets and Turboprops)",Boeing 737,"Air Exchange, http://www.myairlease.com/available/air_exchange","Mr. R. Nerenberg, mailto:roy@airexchange.aero?Subject=Query%20for%20MSN%2028497%20listed%20in%20myairlease.com",+1 301 765 8018,737-700,1999,28497,OR,CFM56-7B22,0/0/148,A,1602,1MM
"Aircraft, (Jets and Turboprops)",Boeing 737,"Air Horizont, http://www.myairlease.com/available/air_horizont","Mr. J. Fernandez, mailto:jfernandez@airhorizont.com?Subject=Query%20for%20MSN%2025349%20listed%20in%20myairlease.com",+34 667 764 706,737-400,1991,25349,OR,CFM56-3C1,0/10/152,A,1605,IMM
"Aircraft, (Jets and Turboprops)",Boeing 737,"AirCapital Aviation Services, http://www.myairlease.com/available/aircapital","Mr. A. LaStella, mailto:ALaStella@aircapital.com?Subject=Query%20for%20MSN%2028894%20listed%20in%20myairlease.com",+1 732 530 0243,737-400,1998,28894,53857/30304,CFM56-3C1,0/12/132,S,1601,1607
"Aircraft, (Jets and Turboprops)",Boeing 737,"AirCapital Aviation Services, http://www.myairlease.com/available/aircapital","Mr. A. LaStella, mailto:ALaStella@aircapital.com?Subject=Query%20for%20MSN%2029318%20listed%20in%20myairlease.com",+1 732 530 0243,737-400,1998,29318,53802/30482,CFM56-3C1,0/12/132,S,1601,1607
"Aircraft, (Jets and Turboprops)",Boeing 737,"Airstream International, http://www.myairlease.com/available/airstream_international","Mr. I. Player, mailto:ivan@airstream.aero?Subject=Query%20for%20MSN%2025418%20listed%20in%20myairlease.com",+44 1483 235 737,737-500,1991,25418,28678/23897,CFM56-3C1,12/0/102,OL/S,1605,IMM
"Aircraft, (Jets and Turboprops)",Boeing 737,"AllTime Aviation, http://www.myairlease.com/available/alltime","Mr. M. Raptakis, mailto:sales@alltimeaviation.com?Subject=Query%20for%20MSN%2024365%20listed%20in%20myairlease.com",+357 258 84281,737-300,1989,24365,OR,CFM56-3B2,0/0/148,A,1604,IMM
"Aircraft, (Jets and Turboprops)",Boeing 737,"AllTime Aviation, http://www.myairlease.com/available/alltime","Mr. M. Raptakis, mailto:sales@alltimeaviation.com?Subject=Query%20for%20MSN%2023870%20listed%20in%20myairlease.com",+357 258 84281,737-400,1988,23870,OR,CFM56-3C1,0/0/168,A,1604,IMM
"Aircraft, (Jets and Turboprops)",Boeing 737,"AMC Airlines, http://www.myairlease.com/available/amc_airlines","Mr. M. Saied, mailto:m.saied@amcairlines.com?Subject=Query%20for%20MSN%2035213%20listed%20in%20myairlease.com",+20 122 3337 228,737-800,2007,35213,19176/6816,CFM56-7B26/3,0/0/189,A/S,1603,IMM
"Aircraft, (Jets and Turboprops)",Boeing 737,"AVCON, http://www.myairlease.com/available/avcon","Mr. W. Brose, mailto:w.brose@avcon.de?Subject=Query%20for%20MSN%2025736%20listed%20in%20myairlease.com",+49 7051 967162,737-400,1992,25736,52859/33517,CFM56-3B2,0/0/162,S,1605,IMM
"Aircraft, (Jets and Turboprops)",Boeing 737,"BBAM, http://www.myairlease.com/available/bbam","Mr. S. Zissis, mailto:info@bbam.com?Subject=Query%20for%20MSN%2028070%20listed%20in%20myairlease.com",+1 415 486 6100,737-800,1998,28070,62751/25708,CFM56-7B27,0/0/189,OL,1605,1612
