Category,Company,Contact_webPage,Contact_email,Contact_phone,Model,YoM,MSN,TFHs_TFCs,Engines,F_B_E,OL_A_S,LU,AD,ESN,L_E_S
"Aircraft, (Turboprops only)",,"SkyWorld Aviation, http://www.myairlease.com/available/skyworld_aviation","Mrs. J. Hewitt, mailto:juliet@skyworld.co.uk?Subject=Query%20for%20MSN%2083%20listed%20in%20myairlease.com",+44 1753 832088,SAAB 340A,1987,083,OR,CT7-5A2,Freighter,S,1605,IMM,,
"Aircraft, (Turboprops only)",,"SkyWorld Aviation, http://www.myairlease.com/available/skyworld_aviation","Mrs. J. Hewitt, mailto:juliet@skyworld.co.uk?Subject=Query%20for%20MSN%2020216%20listed%20in%20myairlease.com",+44 1753 832088,Fokker 50,1991,20216,38941/39639,PW125B,Freighter,S,1605,IMM,,
"Aircraft, (Turboprops only)",,"SkyWorld Aviation, http://www.myairlease.com/available/skyworld_aviation","Mrs. J. Hewitt, mailto:juliet@skyworld.co.uk?Subject=Query%20for%20MSN%2020151%20listed%20in%20myairlease.com",+44 1753 832088,Fokker 50,1989,20151,OR,PW125B,0/0/50,S,1605,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 737,"European Aviation Group, http://www.myairlease.com/available/european_aviation","Mr. T. Whetter, mailto:trevorw@euroav.com?Subject=Query%20for%20MSN%2025797%20listed%20in%20myairlease.com",+44 1531 633 000,737-500,1993,25797,40167/56985,CFM56-3C1,0/0/120,S,1604,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 737,"European Aviation Group, http://www.myairlease.com/available/european_aviation","Mr. T. Whetter, mailto:trevorw@euroav.com?Subject=Query%20for%20MSN%2024648%20listed%20in%20myairlease.com",+44 1531 633 000,737-500,1992,24648,35253/52211,CFM56-3C1,0/0/120,S,1604,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 737,"Express Airways, http://www.myairlease.com/available/express_airways","Mr. S. Tuncer, mailto:s.tuncer@express-airways.com?Subject=Query%20for%20MSN%2028873%20listed%20in%20myairlease.com",+49 174 777 0737,737-33R,1998,28873,OR,CFM56-3C1,0/0/142,A,1604,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing DC9/MD80/MD90,"A-Sonic Aviation, http://www.myairlease.com/available/a-sonic_aviation","Mrs. S. Chia, mailto:aircraft.enquiry@asonic-aviation.com?Subject=Query%20for%20MSN%2049941%20listed%20in%20myairlease.com",+65 632 43248,MD-83,1990,49941,OR,JT8D-219,O/0/167,S,1602,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing DC9/MD80/MD90,"A-Sonic Aviation, http://www.myairlease.com/available/a-sonic_aviation","Mrs. S. Chia, mailto:aircraft.enquiry@asonic-aviation.com?Subject=Query%20for%20MSN%2049948%20listed%20in%20myairlease.com",+65 632 43248,MD-83,1991,49948,OR,JT8D-219,O/12/135,S,1602,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing DC9/MD80/MD90,"Celerak, http://www.myairlease.com/available/celerak","Mr. C. Ospina, mailto:cristobal@celerak.com?Subject=Query%20for%20MSN%2053166%20listed%20in%20myairlease.com",+1 786 380 6871,MD-82,1993,53166,22919/40657,JT8D-217C,OR,S,1603,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 767,"euroAtlantic Airways, http://www.myairlease.com/available/euroatlantic_airways","Commercial team, mailto:commercial@euroatlantic.pt?Subject=Query%20for%20MSN%2024318%20listed%20in%20myairlease.com",+351 21 9247315-24,767-300ER,1989,24318,OR,PW4060-3,0/16/234,OL/A,1605,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 767,"euroAtlantic Airways, http://www.myairlease.com/available/euroatlantic_airways","Commercial team, mailto:commercial@euroatlantic.pt?Subject=Query%20for%20MSN%2026208%20listed%20in%20myairlease.com",+351 21 9247315-24,767-300ER,1994,26208,OR,PW4060-3,0/0/300,OL/A,1605,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 767,"euroAtlantic Airways, http://www.myairlease.com/available/euroatlantic_airways","Commercial team, mailto:commercial@euroatlantic.pt?Subject=Query%20for%20MSN%2025535%20listed%20in%20myairlease.com",+351 21 9247315-24,767-300ER,1993,25535,OR,PW4060-3,0/0/273,OL/A,1605,IMM,,
"Aircraft, (Turboprops only)",,"SkyWorld Aviation, http://www.myairlease.com/available/skyworld_aviation","Mrs. J. Hewitt, mailto:juliet@skyworld.co.uk?Subject=Query%20for%20MSN%2020120%20listed%20in%20myairlease.com",+44 1753 832088,Fokker 50,1988,20120,OR,PW125B,OR,S,1605,IMM,,
"Aircraft, (Turboprops only)",,"SkyWorld Aviation, http://www.myairlease.com/available/skyworld_aviation","Mrs. J. Hewitt, mailto:juliet@skyworld.co.uk?Subject=Query%20for%20MSN%20977%20listed%20in%20myairlease.com",+44 1753 832088,Jetstream 32,1992,977,OR,TPE331-12UAR-70,OR,S,1605,IMM,,
"Aircraft, (Turboprops only)",,"SkyWorld Aviation, http://www.myairlease.com/available/skyworld_aviation","Mrs. J. Hewitt, mailto:juliet@skyworld.co.uk?Subject=Query%20for%20MSN%20841%20listed%20in%20myairlease.com",+44 1753 832088,Jetstream 32,1989,841,OR,TPE331-12UAR-70,OR,S,1605,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 737,"Jet Trading and Leasing, http://www.myairlease.com/available/jet_trading_leasing","Mr. L. Ayala, mailto:luis@jtl.aero?Subject=Query%20for%20MSN%2023773%20listed%20in%20myairlease.com",+1 305 567 2424,737-300,1987,23773,OR,CFM556-3B2,OR,OL/S,1604,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 737,"KV Aviation, http://www.myairlease.com/available/kv_aviation","Mrs. K. Brunet, mailto:karine.brunet@kvaviation.com?Subject=Query%20for%20MSN%2028733%20listed%20in%20myairlease.com",+44 7557 194 936,737-300,1997,28733,39233/27922,CFM56-3C1,0/0/142,OL,1603,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 737,"Logistic Air, http://www.myairlease.com/available/logistic_air","Mr. V. Cooyar, mailto:leasing@logisticair.com?Subject=Query%20for%20MSN%2027191%20listed%20in%20myairlease.com",+1 925 465 0400,737-400,1995,27191,OR,CFM56-3C1,OR,OL/S,1605,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing DC9/MD80/MD90,"Celerak, http://www.myairlease.com/available/celerak","Mr. C. Ospina, mailto:cristobal@celerak.com?Subject=Query%20for%20MSN%2053167%20listed%20in%20myairlease.com",+1 786 380 6871,MD-82,1993,53167,22607/40200,JT8D-217C,OR,S,1603,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing DC9/MD80/MD90,"ICF International, http://www.myairlease.com/available/icf","Mr. D. Louzado, mailto:david.louzado@icfi.com?Subject=Query%20for%20MSN%2049504%20listed%20in%20myairlease.com",+44 20 309 64961,MD-83,1988,49504,43591/24579,JT8D-219,0/64/0,S,1605,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing DC9/MD80/MD90,"Logistic Air, http://www.myairlease.com/available/logistic_air","Mr. V. Cooyar, mailto:leasing@logisticair.com?Subject=Query%20for%20MSN%2047419%20listed%20in%20myairlease.com",+1 925 465 0400,DC9-32F,1969,47419,OR,JT8D-7B,Freighter,OL/S,1605,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 767,"euroAtlantic Airways, http://www.myairlease.com/available/euroatlantic_airways","Commercial team, mailto:commercial@euroatlantic.pt?Subject=Query%20for%20MSN%2024086%20listed%20in%20myairlease.com",+351 21 9247315-24,767-300SF,1989,24086,OR,CF6-80C2,Freighter,OL/A,1605,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 767,"Griffin Aviation Capital, http://www.myairlease.com/available/griffin_aviation_capital","Mr. K. Fedor, mailto:kevin.fedor@griffinavcap.com?Subject=Query%20for%20MSN%2033466%20listed%20in%20myairlease.com",+1 917 689 4869,767-300ER,2002,33466,50984/9203,PW4060-3,0/18/246,OL,1604,1804,,
"Aircraft, (Jets and Turboprops)",Boeing 767,"Griffin Aviation Capital, http://www.myairlease.com/available/griffin_aviation_capital","Mr. K. Fedor, mailto:kevin.fedor@griffinavcap.com?Subject=Query%20for%20MSN%2033467%20listed%20in%20myairlease.com",+1 917 689 4869,767-300ER,2002,33467,50796/9176,PW4060-3,0/18/246,OL,1604,1804,,
"Aircraft, (Turboprops only)",,"SkyWorld Aviation, http://www.myairlease.com/available/skyworld_aviation","Mrs. J. Hewitt, mailto:juliet@skyworld.co.uk?Subject=Query%20for%20MSN%20749%20listed%20in%20myairlease.com",+44 1753 832088,Jetstream 31,1987,749,OR,TPE331,OR,OL/S,1605,IMM,,
"Aircraft, (Turboprops only)",,"SkyWorld Aviation, http://www.myairlease.com/available/skyworld_aviation","Mrs. J. Hewitt, mailto:juliet@skyworld.co.uk?Subject=Query%20for%20MSN%20UE-321%20listed%20in%20myairlease.com",+44 1753 832088,Beechcraft 1900D,1996,UE-321,OR,PT6A-67D,OR,A,1605,IMM,,
"Aircraft, (Turboprops only)",,"Solenta Aviation, http://www.myairlease.com/available/solenta_aviation","Mr. M. Adams, mailto:michael.adams@solenta.com?Subject=Query%20for%20MSN%20528%20listed%20in%20myairlease.com",+27 11 707 4000,ATR 42-500,1996,528,28300/31900,PW127E,0/0/46,OL/A,1604,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 737,"Logistic Air, http://www.myairlease.com/available/logistic_air","Mr. V. Cooyar, mailto:leasing@logisticair.com?Subject=Query%20for%20MSN%2025192%20listed%20in%20myairlease.com",+1 925 465 0400,737-500,1992,25192,OR,CFM56-3C1,OR,OL/A/S,1605,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 737,"Macquarie Airfinance, http://www.myairlease.com/available/macquarie_airfinance","Marketing, mailto:info@macquarie.aero?Subject=Query%20for%20MSN%2032365%20listed%20in%20myairlease.com",......,737-800,2002,32365,OR,CFM56-7B26,OR,OL/S,1604,1612,,
"Aircraft, (Jets and Turboprops)",Boeing 737,"Macquarie Airfinance, http://www.myairlease.com/available/macquarie_airfinance","Marketing, mailto:info@macquarie.aero?Subject=Query%20for%20MSN%2029370%20listed%20in%20myairlease.com",......,737-700,2006,29370,OR,CFM56-7B24,OR,OL/S,1604,1701,,
"Aircraft, (Jets and Turboprops)",Boeing DC9/MD80/MD90,"Logistic Air, http://www.myairlease.com/available/logistic_air","Mr. V. Cooyar, mailto:leasing@logisticair.com?Subject=Query%20for%20MSN%2049186%20listed%20in%20myairlease.com",+1 925 465 0400,MD-82,1984,49186,OR,JT8D-217,16/0/115,OL/S,1605,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing DC9/MD80/MD90,"Rare Air, http://www.myairlease.com/available/rare_air","Mr. T. Reid, mailto:trevorv@rare-air.co.uk?Subject=Query%20for%20MSN%2049829%20listed%20in%20myairlease.com",+44 7543 381 065,MD-87,1990,49829,45500/34800,JT8D-217A,0/0/134,A/S,1602,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 767,"Griffin Aviation Capital, http://www.myairlease.com/available/griffin_aviation_capital","Mr. K. Fedor, mailto:kevin.fedor@griffinavcap.com?Subject=Query%20for%20MSN%2033468%20listed%20in%20myairlease.com",+1 917 689 4869,767-300ER,2003,33468,49954/8993,PW4060-3,0/18/246,OL,1604,1804,,
"Aircraft, (Jets and Turboprops)",Boeing 767,"Guggenheim Aviation Partners, http://www.myairlease.com/available/guggenheim_aviation_partners","Mr. C. Bowen, mailto:clive.bowen@guggenheimpartners.com?Subject=Query%20for%20MSN%2027206%20listed%20in%20myairlease.com",+44 20 7535 1602,767-300ER,1994,27206,OR,CF6-80C2B7F,OR,OL/S,1602,1802,,
"Aircraft, (Jets and Turboprops)",Boeing 767,"Guggenheim Aviation Partners, http://www.myairlease.com/available/guggenheim_aviation_partners","Mr. C. Bowen, mailto:clive.bowen@guggenheimpartners.com?Subject=Query%20for%20MSN%2027205%20listed%20in%20myairlease.com",+44 20 7535 1602,767-300ER,1994,27205,OR,CF6-80C2B7F,OR,OL/S,1602,1702,,
"Aircraft, (Turboprops only)",,"Solenta Aviation, http://www.myairlease.com/available/solenta_aviation","Mr. M. Adams, mailto:michael.adams@solenta.com?Subject=Query%20for%20MSN%20463%20listed%20in%20myairlease.com",+27 11 707 4000,ATR 72-212,1995,463,38600/43900,PW127,0/0/66,A,1604,IMM,,
"Aircraft, (Turboprops only)",,"Solenta Aviation, http://www.myairlease.com/available/solenta_aviation","Mr. M. Adams, mailto:michael.adams@solenta.com?Subject=Query%20for%20MSN%20228%20listed%20in%20myairlease.com",+27 11 707 4000,ATR 42-300,1991,228,35660/33800,PW120,Freighter,OL/A,1604,IMM,,
"Aircraft, (Turboprops only)",,"Solenta Aviation, http://www.myairlease.com/available/solenta_aviation","Mr. M. Adams, mailto:michael.adams@solenta.com?Subject=Query%20for%20MSN%20032%20listed%20in%20myairlease.com",+27 11 707 4000,ATR 42-320,1986,032,34250/34780,PW120,0/0/42,OL/A,1604,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 737,"MFS Aircraft, http://www.myairlease.com/available/mfs_aircraft","Mr. G. Jackson, mailto:Gerry@mfsaircraft.com?Subject=Query%20for%20MSN%2024662%20listed%20in%20myairlease.com",+1 612 822 3580,737-322,1990,24662,53690/35922,CFM56-3C1,0/0/147,OL/A/S,1603,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 737,"MFS Aircraft, http://www.myairlease.com/available/mfs_aircraft","Mr. G. Jackson, mailto:Gerry@mfsaircraft.com?Subject=Query%20for%20MSN%2023955%20listed%20in%20myairlease.com",+1 612 822 3580,737-322,1988,23955,67235/40057,CFM56-3C1,0/0/148,OL/A/S,1603,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 737,"MHB Aviation Consultants, http://www.myairlease.com/available/mhb_aviation_consultants","Mr. I. Blight, mailto:iblight@mhbaviation.com?Subject=Query%20for%20MSN%2025107%20listed%20in%20myairlease.com",+44 1276 473887,737-400,1993,25107,OR,CFM56-3,0/0/168,A,1602,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 767,"Jet Trading and Leasing, http://www.myairlease.com/available/jet_trading_leasing","Mr. L. Ayala, mailto:luis@jtl.aero?Subject=Query%20for%20MSN%2023403%20listed%20in%20myairlease.com",+1 305 567 2424,767-200ER,1986,23403,OR,JT9D-7R4E,OR,OL/S,1604,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 767,"mba aircraft solutions, http://www.myairlease.com/available/mbaas","Mrs. C. Allen, mailto:callen@mba.aero?Subject=Query%20for%20MSN%2023180%20listed%20in%20myairlease.com",+1 703 276 3202,767-200ER,1984,23180,62023/OR,JT9D-7R4E,0/12/202,OL/S,1603,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 767,"MFS Aircraft, http://www.myairlease.com/available/mfs_aircraft","Mr. G. Jackson, mailto:Gerry@mfsaircraft.com?Subject=Query%20for%20MSN%2024757%20listed%20in%20myairlease.com",+1 612 822 3580,767-204,1990,24757,82285/23669,CF6-80A2,0/0/266,OL/A/S,1603,IMM,,
"Aircraft, (Turboprops only)",,"Solenta Aviation, http://www.myairlease.com/available/solenta_aviation","Mr. M. Adams, mailto:michael.adams@solenta.com?Subject=Query%20for%20MSN%20UE-385%20listed%20in%20myairlease.com",+27 11 707 4000,Beechcraft 1900D,1999,UE-385,16160/19000,PT6A-67D,0/0/19,OL/A,1604,IMM,,
"Aircraft, (Turboprops only)",,"Solenta Aviation, http://www.myairlease.com/available/solenta_aviation","Mr. M. Adams, mailto:michael.adams@solenta.com?Subject=Query%20for%20MSN%203003%20listed%20in%20myairlease.com",+27 11 707 4000,Let 410,2014,3003,225/411,H80,0/0/19,OL/A,1604,IMM,,
"Aircraft, (Turboprops only)",,"Solenta Aviation, http://www.myairlease.com/available/solenta_aviation","Mr. M. Adams, mailto:michael.adams@solenta.com?Subject=Query%20for%20MSN%20485%20listed%20in%20myairlease.com",+27 11 707 4000,Cessna 208,1995,485,13700/16700,PT6A-114,0/0/12,OL/A,1604,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 737,"ORIX Aviation, http://www.myairlease.com/available/orix_aviation","Mr. D. Cunnigham, mailto:daniel.cunningham@orix.ie?Subject=Query%20for%20MSN%2029660%20listed%20in%20myairlease.com",+353 871 774 524,737-800,2007,29660,OR,CFM56-7B26/3,OR,OL,1604,1711,,
"Aircraft, (Jets and Turboprops)",Boeing 737,"ORIX Aviation, http://www.myairlease.com/available/orix_aviation","Mr. C. Coakley, mailto:cian.coakley@orix.ie?Subject=Query%20for%20MSN%2024710%20listed%20in%20myairlease.com",+353 877 760 451,737-300F,1990,24710,OR,CFM56-3B2,Freighter,S,1604,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 737,"Plane Trails, http://www.myairlease.com/available/plane_trails","Mr. K. Dyer, mailto:kendyer@plane-lease.com?Subject=Query%20for%20MSN%2024754%20listed%20in%20myairlease.com",+44 1437 807 200,737-500,1990,24754,43899/42635,CFM56-3C1,0/0/120,S,1602,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 767,"MFS Aircraft, http://www.myairlease.com/available/mfs_aircraft","Mr. G. Jackson, mailto:Gerry@mfsaircraft.com?Subject=Query%20for%20MSN%2024736%20listed%20in%20myairlease.com",+1 612 822 3580,767-204,1990,24736,76713/22643,CF6-80A2,0/0/266,OL/A/S,1603,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 767,"MFS Aircraft, http://www.myairlease.com/available/mfs_aircraft","Mr. G. Jackson, mailto:Gerry@mfsaircraft.com?Subject=Query%20for%20MSN%2024239%20listed%20in%20myairlease.com",+1 612 822 3580,767-204,1988,24239,83325/22080,CF6-80A2,0/0/266,OL/A/S,1603,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 767,"Privilege Style Airlines, http://www.myairlease.com/available/privilege","Mr. O. Hernandez, mailto:ohernandez@privilegestyle.com?Subject=Query%20for%20MSN%2027902%20listed%20in%20myairlease.com",+34 971 408 653,767-300ER,1995,27902,OR,CF6-80C2B6,0/18/229,A,1606,IMM,,
"Aircraft, (Turboprops only)",,"Thomas Aviation Services, http://www.myairlease.com/available/thomas_aviation_services","Mr. M. Agnew, mailto:agnew@thomasaviation.net?Subject=Query%20for%20MSN%20289%20listed%20in%20myairlease.com",+1 202 364 2775,SAAB 340B,1992,289,OR,CT7-9B,OR,S,1605,IMM,,
"Aircraft, (Turboprops only)",,"Thomas Aviation Services, http://www.myairlease.com/available/thomas_aviation_services","Mr. M. Agnew, mailto:agnew@thomasaviation.net?Subject=Query%20for%20MSN%20837%20listed%20in%20myairlease.com",+1 202 364 2775,Jetstream 32,1989,837,OR,TPE331-12UAR-70,OR,S,1605,IMM,,
"Aircraft, (Turboprops only)",,"Thomas Aviation Services, http://www.myairlease.com/available/thomas_aviation_services","Mr. M. Agnew, mailto:agnew@thomasaviation.net?Subject=Query%20for%20MSN%20720%20listed%20in%20myairlease.com",+1 202 364 2775,Jetstream 31,1986,720,OR,TPE331-12UAR-70,OR,S,1605,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 737,"Potomac Aviation, http://www.myairlease.com/available/potomac_aviation","Mr. M. Adams, mailto:michael.adams@potomacaviation.net?Subject=Query%20for%20MSN%2026851%20listed%20in%20myairlease.com",+1 336 682 5441,737-300QC,1992,26851,26741/27227,CFM56-3C1,0/0/147,S,1605,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 737,"Potomac Aviation, http://www.myairlease.com/available/potomac_aviation","Mr. M. Adams, mailto:michael.adams@potomacaviation.net?Subject=Query%20for%20MSN%2025159%20listed%20in%20myairlease.com",+1 336 682 5441,737-300QC,1991,25159,54042/32119,CFM56-3B2,0/0/148,S,1605,1607,,
"Aircraft, (Jets and Turboprops)",Boeing 737,"Rare Air, http://www.myairlease.com/available/rare_air","Mr. T. Reid, mailto:trevorv@rare-air.co.uk?Subject=Query%20for%20MSN%2022123%20listed%20in%20myairlease.com",+44 7543 381 065,737-230A,1981,22123,59200/57971,JT8D-15,0/8/112,A/S,1602,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 767,"SkyWorks Leasing, http://www.myairlease.com/available/skyworks","Mr. J. Claesson, mailto:JClaesson@SkyWorksLeasing.com?Subject=Query%20for%20MSN%2026470%20listed%20in%20myairlease.com",+46 709 991 324,767-31AER,1992,26470,105088/17882,PW4060-1C,0/0/274,OL/S,1603,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 767,"Zela Aviation, http://www.myairlease.com/available/zela_aviation","Mr. A. Pericleous, mailto:acmi@zelaaviation.com?Subject=Query%20for%20MSN%2041519%20listed%20in%20myairlease.com",+357 25 34 68 15,767-300ER,2013,41519,OR,CF6-80C2B7F,0/25/195,A,1605,IMM,,
"Aircraft, (Jets and Turboprops)",CASA,"CAAMS Leasing, http://www.myairlease.com/available/caams","Mr. M. Clyne, mailto:info@caamsllc.com?Subject=Query%20for%20MSN%20356%20listed%20in%20myairlease.com",+1 561 308 5926,CASA 212-200,1988,356,14650/20140,TPE331-10R-512C,0/0/19,S,1605,IMM,,
"Aircraft, (Turboprops only)",,"Thomas Aviation Services, http://www.myairlease.com/available/thomas_aviation_services","Mr. M. Agnew, mailto:agnew@thomasaviation.net?Subject=Query%20for%20MSN%20646%20listed%20in%20myairlease.com",+1 202 364 2775,Jetstream 31,1987,646,23489/29725,TPE331-10UF-513H,0/0/12,S,1605,IMM,,
"Aircraft, (Turboprops only)",,"Thomas Aviation Services, http://www.myairlease.com/available/thomas_aviation_services","Mr. M. Agnew, mailto:agnew@thomasaviation.net?Subject=Query%20for%20MSN%20120326%20listed%20in%20myairlease.com",+1 202 364 2775,EMB-120,1996,120326,OR,PW118B,OR,S,1605,IMM,,
"Aircraft, (Turboprops only)",,"Thomas Aviation Services, http://www.myairlease.com/available/thomas_aviation_services","Mr. M. Agnew, mailto:agnew@thomasaviation.net?Subject=Query%20for%20MSN%20BB853%20listed%20in%20myairlease.com",+1 202 364 2775,King Air B200,1981,BB853,13876/14998,PT6A-42,0/8/0,S,1605,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 737,"SkyWorks Leasing, http://www.myairlease.com/available/skyworks","Mr. A. Husain, mailto:ahusain@skyworksleasing.com?Subject=Query%20for%20MSN%2028891%20listed%20in%20myairlease.com",+1 203 983 6671,737-400,1998,28891,OR,CFM56-3C1,OR,OL/S,1603,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 737,"SkyWorks Leasing, http://www.myairlease.com/available/skyworks","Mr. A. Husain, mailto:ahusain@skyworksleasing.com?Subject=Query%20for%20MSN%2028890%20listed%20in%20myairlease.com",+1 203 983 6671,737-400,1998,28890,OR,CFM56-3C1,OR,OL/S,1603,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 737,"VallAir, http://www.myairlease.com/available/vallair","Mrs. A. Mihalache, mailto:anca@vallair.aero?Subject=Query%20for%20MSN%2025180%20listed%20in%20myairlease.com",+352 2 610 3962,737-400F,1992,25180,OR,CFM56-3C1,Freighter,S,1603,1608,,
"Aircraft, (Turboprops only)",,"Titan Aviation Group, http://www.myairlease.com/available/titan_aviation_group","Mr. L. Nicholls, mailto:Laurence@thghelicopters.com?Subject=Query%20for%20MSN%20141%20listed%20in%20myairlease.com",+27 219 364 400,Convair 580,1953,141,OR,Allison 501-D13,OR,OL/A/S,1603,IMM,,
"Aircraft, (Turboprops only)",,"Titan Aviation Group, http://www.myairlease.com/available/titan_aviation_group","Mr. L. Nicholls, mailto:Laurence@thghelicopters.com?Subject=Query%20for%20MSN%2039%20listed%20in%20myairlease.com",+27 219 364 400,Convair 580,1952,039,OR,Allison 501-D13,OR,OL/A/S,1603,IMM,,
"Aircraft, (Turboprops only)",,"Ultimate Air, http://www.myairlease.com/available/ultimate_air","Mr. C. Munro, mailto:cmunro@cadg.com?Subject=Query%20for%20MSN%201168%20listed%20in%20myairlease.com",+27 834 127 744,Cessna C208B,2003,1168,OR,PT6A-114A,0/0/9,A,1604,IMM,,
"Aircraft, (Jets and Turboprops)",Cessna,"Potomac Aviation, http://www.myairlease.com/available/potomac_aviation","Mr. M. Adams, mailto:michael.adams@potomacaviation.net?Subject=Query%20for%20MSN%205080%20listed%20in%20myairlease.com",+1 336 682 5441,Cessna C208B-EX,2013,5080,3422/5520,PT6A-140,0/0/12,S,1605,IMM,,
"Aircraft, (Jets and Turboprops)",Cessna,"Solenta Aviation, http://www.myairlease.com/available/solenta_aviation","Mr. M. Adams, mailto:michael.adams@solenta.com?Subject=Query%20for%20MSN%20485%20listed%20in%20myairlease.com",+27 11 707 4000,Cessna 208,1995,485,13700/16700,PT6A-114,0/0/12,OL/A,1604,IMM,,
"Aircraft, (Jets and Turboprops)",Cessna,"Ultimate Air, http://www.myairlease.com/available/ultimate_air","Mr. C. Munro, mailto:cmunro@cadg.com?Subject=Query%20for%20MSN%201168%20listed%20in%20myairlease.com",+27 834 127 744,Cessna C208B,2003,1168,OR,PT6A-114A,0/0/9,A,1604,IMM,,
"Aircraft, (Jets and Turboprops)",Boeing 737,"VallAir, http://www.myairlease.com/available/vallair","Mrs. A. Mihalache, mailto:anca@vallair.aero?Subject=Query%20for%20MSN%2024690%20listed%20in%20myairlease.com",+352 2 610 3962,737-400F,1990,24690,OR,CFM56-3C1,Freighter,S,1603,1607,,
"Aircraft, (Jets and Turboprops)",Boeing 737,"Zela Aviation, http://www.myairlease.com/available/zela_aviation","Mr. A. Pericleous, mailto:acmi@zelaaviation.com?Subject=Query%20for%20MSN%2029922%20listed%20in%20myairlease.com",+357 25 34 68 15,737-800,2000,29922,OR,CFM56-7B,0/12/168,A,1605,IMM,,
"Aircraft, (Turboprops only)",,"Ultimate Air, http://www.myairlease.com/available/ultimate_air","Mr. C. Munro, mailto:cmunro@cadg.com?Subject=Query%20for%20MSN%20890%20listed%20in%20myairlease.com",+27 834 127 744,Cessna C208B,2001,890,OR,PT6A-114A,0/0/9,A,1604,IMM,,
"Aircraft, (Turboprops only)",,"Ultimate Air, http://www.myairlease.com/available/ultimate_air","Mr. C. Munro, mailto:cmunro@cadg.com?Subject=Query%20for%20MSN%20BB-688%20listed%20in%20myairlease.com",+27 834 127 744,Beechcraft B200,1980,BB-688,OR,PT6A-42,0/7/0,A,1604,IMM,,
"Aircraft, (Jets and Turboprops)",Cessna,"Ultimate Air, http://www.myairlease.com/available/ultimate_air","Mr. C. Munro, mailto:cmunro@cadg.com?Subject=Query%20for%20MSN%20890%20listed%20in%20myairlease.com",+27 834 127 744,Cessna C208B,2001,890,OR,PT6A-114A,0/0/9,A,1604,IMM,,
"Aircraft, (Jets and Turboprops)",Convair,"Aviation Jet Consultants, http://www.myairlease.com/available/aviation_jet_consultants","Mr. L. Nicholls, mailto:LNicholls@avjet.co.za?Subject=Query%20for%20MSN%20458%20listed%20in%20myairlease.com",+27 21 936 4400,Convair 580,1957,458,OR,Allison 501-D13,Freighter,A,1601,IMM,,
"Aircraft, (Jets and Turboprops)",Convair,"Titan Aviation Group, http://www.myairlease.com/available/titan_aviation_group","Mr. L. Nicholls, mailto:Laurence@thghelicopters.com?Subject=Query%20for%20MSN%20141%20listed%20in%20myairlease.com",+27 219 364 400,Convair 580,1953,141,OR,Allison 501-D13,OR,OL/A/S,1603,IMM,,
"Aircraft, (Jets and Turboprops)",Convair,"Titan Aviation Group, http://www.myairlease.com/available/titan_aviation_group","Mr. L. Nicholls, mailto:Laurence@thghelicopters.com?Subject=Query%20for%20MSN%2039%20listed%20in%20myairlease.com",+27 219 364 400,Convair 580,1952,39,OR,Allison 501-D13,OR,OL/A/S,1603,IMM,,
